participant_id	age	sex	hand	weight	height	group	species	bci_experience
sub-1	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-10	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-11	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-12	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-13	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-14	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-15	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-16	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-17	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-18	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-19	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-2	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-20	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-21	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-22	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-23	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-24	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-25	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-26	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-27	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-28	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-29	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-3	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-30	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-31	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-32	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-33	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-34	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-35	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-36	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-4	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-5	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-6	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-7	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-8	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
sub-9	0	n/a	n/a	n/a	n/a	healthy	homo sapiens	n/a
